Rank,Movie,Release Date,Distributor,Genre,Year Gross,Tickets Sold,Movie URL,Year,Domestic Box Office,International Box Office,Worldwide Box Office,Production Budget,MPAA Rating
1,Black Panther,"Feb 16, 2018",Walt Disney,Action,700059566.0,76845177.0,https://www.the-numbers.com/movie/Black-Panther-(2018)#tab=summary,2018,700059566.0,634097516.0,1334157082.0,200000000.0,PG-13
2,Avengers: Infinity War,"Apr 27, 2018",Walt Disney,Action,678815482.0,74513225.0,https://www.the-numbers.com/movie/Avengers-Infinity-War-(2017)#tab=summary,2018,678815482.0,1369342759.0,2048158241.0,300000000.0,PG-13
3,Incredibles 2,"Jun 15, 2018",Walt Disney,Adventure,608581744.0,66803704.0,https://www.the-numbers.com/movie/Incredibles-2#tab=summary,2018,608581744.0,634223615.0,1242805359.0,200000000.0,PG
4,Jurassic World: Fallen Kingdom,"Jun 22, 2018",Universal,Action,417719760.0,45852883.0,https://www.the-numbers.com/movie/Jurassic-World-Fallen-Kingdom-(2018)#tab=summary,2018,417719760.0,890603542.0,1308323302.0,170000000.0,PG-13
5,Deadpool 2,"May 18, 2018",20th Century Fox,Action,324512774.0,35621600.0,https://www.the-numbers.com/movie/Deadpool-2#tab=summary,2018,324591735.0,461770635.0,786362370.0,110000000.0,R
6,Dr. Seuss’ The Grinch,"Nov 9, 2018",Universal,Adventure,267287030.0,29339959.0,https://www.the-numbers.com/movie/Dr-Seuss-The-Grinch-(2018)#tab=summary,2018,272961295.0,241369386.0,514330681.0,75000000.0,PG
7,Jumanji: Welcome to the Jungle,"Dec 20, 2017",Sony Pictures,Adventure,235506359.0,25851411.0,https://www.the-numbers.com/movie/Jumanji-Welcome-to-the-Jungle#tab=summary,2018,404508916.0,557123891.0,961632807.0,90000000.0,PG-13
8,Mission: Impossible—Fallout,"Jul 27, 2018",Paramount Pictures,Action,220159104.0,24166751.0,https://www.the-numbers.com/movie/Mission-Impossible-Fallout#tab=summary,2018,220159104.0,566110516.0,786269620.0,178000000.0,PG-13
9,Ant-Man and the Wasp,"Jul 6, 2018",Walt Disney,Action,216648740.0,23781420.0,https://www.the-numbers.com/movie/Ant-Man-and-the-Wasp#tab=summary,2018,216648740.0,406495920.0,623144660.0,130000000.0,PG-13
10,Solo: A Star Wars Story,"May 25, 2018",Walt Disney,Adventure,213767512.0,23465149.0,https://www.the-numbers.com/movie/Solo-A-Star-Wars-Story#tab=summary,2018,213767512.0,179383835.0,393151347.0,330400000.0,PG-13
11,Venom,"Oct 5, 2018",Sony Pictures,Action,213429141.0,23428006.0,https://www.the-numbers.com/movie/Venom-(2018)#tab=summary,2018,213511408.0,642569645.0,856081053.0,116000000.0,PG-13
